"gID";"T";"x";"y";"itemsInCraneID"
0;10141.0;1005;5;221
0;10151.0;1005;5;null
0;10181.0;855;65;null
0;10191.0;855;65;1722
0;10245.0;585;75;1722
0;10255.0;585;75;null
0;10309.0;855;65;null
0;10319.0;855;65;1471
0;10323.0;835;75;1471
0;10333.0;835;75;null
0;10337.0;855;65;null
0;10347.0;855;65;1044
0;10377.0;1005;5;1044
0;10387.0;1005;5;null
0;10521.0;335;25;null
0;10531.0;335;25;2442
0;10597.0;5;35;2442
0;10607.0;5;35;null
0;10673.0;335;25;null
0;10683.0;335;25;1785
0;10719.0;155;35;1785
0;10729.0;155;35;null
0;10765.0;335;25;null
0;10775.0;335;25;1753
0;10909.0;1005;5;1753
0;10919.0;1005;5;null
0;11067.0;265;5;null
0;11077.0;265;5;2607
0;11225.0;1005;5;2607
0;11235.0;1005;5;null
0;11245.0;955;5;null
0;11255.0;955;5;2624
0;11265.0;1005;5;2624
0;11275.0;1005;5;null
0;11441.0;175;55;null
0;11451.0;175;55;1871
0;11459.0;135;65;1871
0;11469.0;135;65;null
0;11477.0;175;55;null
0;11487.0;175;55;1744
0;11653.0;1005;5;1744
0;11663.0;1005;5;null
0;11709.0;775;35;null
0;11719.0;775;35;1347
0;11765.0;1005;5;1347
0;11775.0;1005;5;null
0;11977.0;-5;5;null
0;11987.0;-5;5;2641
0;12189.0;1005;5;2641
0;12199.0;1005;5;null
0;12355.0;225;5;null
0;12365.0;225;5;2629
0;12521.0;1005;5;2629
0;12531.0;1005;5;null
0;12605.0;635;85;null
0;12615.0;635;85;1983
0;12631.0;715;95;1983
0;12641.0;715;95;null
0;12657.0;635;85;null
0;12667.0;635;85;1829
0;12741.0;1005;5;1829
0;12751.0;1005;5;null
0;12925.0;135;55;null
0;12935.0;135;55;2488
0;13079.0;855;65;2488
0;13089.0;855;65;null
0;13233.0;135;55;null
0;13243.0;135;55;1761
0;13409.0;965;65;1761
0;13419.0;965;65;null
0;13585.0;135;55;null
0;13595.0;135;55;932
0;13627.0;295;65;932
0;13637.0;295;65;null
0;13669.0;135;55;null
0;13679.0;135;55;876
0;13853.0;1005;5;876
0;13863.0;1005;5;null
0;14035.0;145;25;null
0;14045.0;145;25;2088
0;14217.0;1005;5;2088
0;14227.0;1005;5;null
0;14429.0;-5;5;null
0;14439.0;-5;5;2642
0;14625.0;925;5;2642
0;14635.0;925;5;null
0;14821.0;-5;5;null
0;14831.0;-5;5;2643
0;14885.0;265;5;2643
0;14895.0;265;5;null
0;14949.0;-5;5;null
0;14959.0;-5;5;2644
0;15161.0;1005;5;2644
0;15171.0;1005;5;null
0;15183.0;945;95;null
0;15193.0;945;95;2447
0;15215.0;835;85;2447
0;15225.0;835;85;null
0;15247.0;945;95;null
0;15257.0;945;95;1356
0;15335.0;555;85;1356
0;15345.0;555;85;null
0;15423.0;945;95;null
0;15433.0;945;95;1293
0;15445.0;1005;5;1293
0;15455.0;1005;5;null
0;15523.0;665;5;null
0;15533.0;665;5;2470
0;15601.0;1005;5;2470
0;15611.0;1005;5;null
0;15711.0;505;5;null
0;15721.0;505;5;2631
0;15731.0;555;15;2631
0;15741.0;555;15;null
0;15751.0;505;5;null
0;15761.0;505;5;2623
0;15861.0;1005;5;2623
0;15871.0;1005;5;null
0;16073.0;-5;5;null
0;16083.0;-5;5;2645
0;16269.0;925;5;2645
0;16279.0;925;5;null
0;16465.0;-5;5;null
0;16475.0;-5;5;2646
0;16577.0;505;5;2646
0;16587.0;505;5;null
0;16689.0;-5;5;null
0;16699.0;-5;5;2647
0;16891.0;955;5;2647
0;16901.0;955;5;null
0;17093.0;-5;5;null
0;17103.0;-5;5;2648
0;17305.0;1005;5;2648
0;17315.0;1005;5;null
0;17375.0;705;65;null
0;17385.0;705;65;2487
0;17445.0;1005;5;2487
0;17455.0;1005;5;null
0;17499.0;785;5;null
0;17509.0;785;5;2519
0;17615.0;255;15;2519
0;17625.0;255;15;null
0;17731.0;785;5;null
0;17741.0;785;5;583
0;17871.0;135;15;583
0;17881.0;135;15;null
0;18011.0;785;5;null
0;18021.0;785;5;446
0;18065.0;1005;5;446
0;18075.0;1005;5;null
0;18217.0;295;25;null
0;18227.0;295;25;2366
0;18313.0;725;35;2366
0;18323.0;725;35;null
0;18409.0;295;25;null
0;18419.0;295;25;2278
0;18561.0;1005;5;2278
0;18571.0;1005;5;null
0;18707.0;325;15;null
0;18717.0;325;15;1258
0;18745.0;465;25;1258
0;18755.0;465;25;null
0;18783.0;325;15;null
0;18793.0;325;15;983
0;18929.0;1005;5;983
0;18939.0;1005;5;null
0;19029.0;555;15;null
0;19039.0;555;15;2631
0;19129.0;1005;5;2631
0;19139.0;1005;5;null
0;19239.0;505;5;null
0;19249.0;505;5;2646
0;19349.0;1005;5;2646
0;19359.0;1005;5;null
0;19517.0;215;25;null
0;19527.0;215;25;1955
0;19685.0;1005;5;1955
0;19695.0;1005;5;null
0;19711.0;925;5;null
0;19721.0;925;5;2645
0;19795.0;555;15;2645
0;19805.0;555;15;null
0;19879.0;925;5;null
0;19889.0;925;5;2642
0;19905.0;1005;5;2642
0;19915.0;1005;5;null
0;19953.0;815;65;null
0;19963.0;815;65;2123
0;20043.0;415;75;2123
0;20053.0;415;75;null
0;20133.0;815;65;null
0;20143.0;815;65;2117
0;20283.0;115;75;2117
0;20293.0;115;75;null
0;20433.0;815;65;null
0;20443.0;815;65;1193
0;20481.0;1005;5;1193
0;20491.0;1005;5;null
0;20635.0;285;15;null
0;20645.0;285;15;2145
0;20675.0;135;25;2145
0;20685.0;135;25;null
0;20715.0;285;15;null
0;20725.0;285;15;1401
0;20869.0;1005;5;1401
0;20879.0;1005;5;null
0;20987.0;465;45;null
0;20997.0;465;45;2256
0;21053.0;745;55;2256
0;21063.0;745;55;null
0;21119.0;465;45;null
0;21129.0;465;45;1847
0;21195.0;135;55;1847
0;21205.0;135;55;null
0;21271.0;465;45;null
0;21281.0;465;45;1237
0;21309.0;325;55;1237
0;21319.0;325;55;null
0;21347.0;465;45;null
0;21357.0;465;45;1021
0;21465.0;1005;5;1021
0;21475.0;1005;5;null
0;21603.0;365;5;null
0;21613.0;365;5;2637
0;21627.0;435;15;2637
0;21637.0;435;15;null
0;21651.0;365;5;null
0;21661.0;365;5;2616
0;21711.0;115;15;2616
0;21721.0;115;15;null
0;21771.0;365;5;null
0;21781.0;365;5;2602
0;21909.0;1005;5;2602
0;21919.0;1005;5;null
0;21983.0;685;75;null
0;21993.0;685;75;2041
0;22077.0;265;85;2041
0;22087.0;265;85;null
0;22171.0;685;75;null
0;22181.0;685;75;1988
0;22301.0;85;85;1988
0;22311.0;85;85;null
0;22431.0;685;75;null
0;22441.0;685;75;1876
0;22505.0;1005;5;1876
0;22515.0;1005;5;null
0;22683.0;165;5;null
0;22693.0;165;5;2634
0;22861.0;1005;5;2634
0;22871.0;1005;5;null
0;22987.0;425;75;null
0;22997.0;425;75;2505
0;23017.0;325;85;2505
0;23027.0;325;85;null
0;23047.0;425;75;null
0;23057.0;425;75;1053
0;23173.0;1005;5;1053
0;23183.0;1005;5;null
0;23215.0;845;5;null
0;23225.0;845;5;2626
0;23257.0;1005;5;2626
0;23267.0;1005;5;null
0;23285.0;915;65;null
0;23295.0;915;65;1672
0;23413.0;325;75;1672
0;23423.0;325;75;null
0;23541.0;915;65;null
0;23551.0;915;65;578
0;23569.0;1005;5;578
0;23579.0;1005;5;null
0;23651.0;645;5;null
0;23661.0;645;5;2636
0;23733.0;1005;5;2636
0;23743.0;1005;5;null
0;23913.0;155;45;null
0;23923.0;155;45;2538
0;24069.0;885;55;2538
0;24079.0;885;55;null
0;24225.0;155;45;null
0;24235.0;155;45;665
0;24405.0;1005;5;665
0;24415.0;1005;5;null
0;24555.0;305;5;null
0;24565.0;305;5;2612
0;24705.0;1005;5;2612
0;24715.0;1005;5;null
0;24745.0;855;5;null
0;24755.0;855;5;2618
0;24785.0;1005;5;2618
0;24795.0;1005;5;null
0;24855.0;705;5;null
0;24865.0;705;5;2633
0;24925.0;1005;5;2633
0;24935.0;1005;5;null
0;25069.0;335;35;null
0;25079.0;335;35;2267
0;25213.0;1005;5;2267
0;25223.0;1005;5;null
0;25323.0;505;5;null
0;25333.0;505;5;2601
0;25433.0;1005;5;2601
0;25443.0;1005;5;null
0;25563.0;405;5;null
0;25573.0;405;5;2627
0;25677.0;925;15;2627
0;25687.0;925;15;null
0;25791.0;405;5;null
0;25801.0;405;5;2605
0;25921.0;1005;5;2605
0;25931.0;1005;5;null
0;26025.0;535;95;null
0;26035.0;535;95;2318
0;26129.0;1005;5;2318
0;26139.0;1005;5;null
0;26255.0;425;5;null
0;26265.0;425;5;2608
0;26381.0;1005;5;2608
0;26391.0;1005;5;null
0;26551.0;205;5;null
0;26561.0;205;5;2628
0;26721.0;1005;5;2628
0;26731.0;1005;5;null
0;26911.0;105;5;null
0;26921.0;105;5;2137
0;26957.0;285;15;2137
0;26967.0;285;15;null
0;27003.0;105;5;null
0;27013.0;105;5;1229
0;27077.0;425;15;1229
0;27087.0;425;15;null
0;27151.0;105;5;null
0;27161.0;105;5;594
0;27341.0;1005;5;594
0;27351.0;1005;5;null
0;27553.0;-5;5;null
0;27563.0;-5;5;2649
0;27749.0;925;5;2649
0;27759.0;925;5;null
